epoch,HMD_rotation,gaze_forward
1660220688422955,0.8861945431513448,"[0.0, 0.0, 0.0]"
1660220688439458,0.8861842895321518,"[0.0, 0.0, 0.0]"
1660220688455955,0.8861622354827684,"[0.0, 0.0, 0.0]"
1660220688472955,0.8861738935912261,"[0.0, 0.0, 0.0]"
1660220688489459,0.8861341903767863,"[0.0, 0.0, 0.0]"
1660220688505959,0.886247816372155,"[0.0, 0.0, 0.0]"
1660220688522956,0.8862635725622345,"[0.0, 0.0, 0.0]"
1660220688539460,0.8861946083882013,"[0.0, 0.0, 0.0]"
1660220688555956,0.8862159373850126,"[0.0, 0.0, 0.0]"
1660220688572957,0.886227947306863,"[0.0, 0.0, 0.0]"
1660220688589460,0.8861728269945957,"[0.0, 0.0, 0.0]"
1660220688605957,0.8861395550450285,"[0.0, 0.0, 0.0]"
1660220688622457,0.8861540155150657,"[0.0, 0.0, 0.0]"
1660220688639462,0.8861537564978568,"[0.0, 0.0, 0.0]"
1660220688655958,0.886163502338852,"[0.0, 0.0, 0.0]"
1660220688672959,0.8861317486161423,"[0.0, 0.0, 0.0]"
1660220688689462,0.8861807712934643,"[0.0, 0.0, 0.0]"
1660220688705962,0.8861513037567214,"[0.0, 0.0, 0.0]"
1660220688722959,0.8861597433744881,"[0.0, 0.0, 0.0]"
1660220688739463,0.8861347527101735,"[0.0, 0.0, 0.0]"
1660220688755960,0.8861152872427118,"[0.0, 0.0, 0.0]"
1660220688772460,0.8861877158905935,"[0.0, 0.0, 0.0]"
1660220688789463,0.8861548498869524,"[0.0, 0.0, 0.0]"
1660220688805961,0.8861315830299697,"[0.0, 0.0, 0.0]"
1660220688822961,0.8861452003559762,"[0.0, 0.0, 0.0]"
1660220688839461,0.886176060790471,"[0.0, 0.0, 0.0]"
1660220688855961,0.8861385987488873,"[0.0, 0.0, 0.0]"
1660220688872962,0.886128219510775,"[0.0, 0.0, 0.0]"
1660220688889465,0.8861407804071879,"[0.0, 0.0, 0.0]"
1660220688905962,0.8861834133783373,"[0.0, 0.0, 0.0]"
1660220688922462,0.8861897489317798,"[0.0, 0.0, 0.0]"
1660220688939463,0.8861623906518108,"[0.0, 0.0, 0.0]"
1660220688955963,0.8861665953633024,"[0.0, 0.0, 0.0]"
1660220688972963,0.8861404665663299,"[0.0, 0.0, 0.0]"
1660220688989467,0.8861626138697479,"[0.0, 0.0, 0.0]"
1660220689005968,0.8861238933318327,"[0.0, 0.0, 0.0]"
1660220689022965,0.8861328383026666,"[0.0, 0.0, 0.0]"
1660220689039468,0.8860803282057508,"[0.0, 0.0, 0.0]"
1660220689055968,0.8860898676117236,"[0.0, 0.0, 0.0]"
1660220689072965,0.8861195995154667,"[0.0, 0.0, 0.0]"
1660220689089469,0.8860560571292279,"[0.0, 0.0, 0.0]"
1660220689105969,0.8860628975462391,"[0.0, 0.0, 0.0]"
1660220689122966,0.8861014829814969,"[0.0, 0.0, 0.0]"
1660220689139469,0.8861161543920029,"[0.0, 0.0, 0.0]"
1660220689155970,0.8861677453202537,"[0.0, 0.0, 0.0]"
1660220689172967,0.8861411036489234,"[0.0, 0.0, 0.0]"
1660220689189471,0.886164923759583,"[0.0, 0.0, 0.0]"
1660220689205967,0.8861787500931414,"[0.0, 0.0, 0.0]"
1660220689222968,0.8861907827947039,"[0.0, 0.0, 0.0]"
1660220689239472,0.886259065875888,"[0.0, 0.0, 0.0]"
1660220689255971,0.8862358308135424,"[0.0, 0.0, 0.0]"
1660220689272472,0.886248794177743,"[0.0, 0.0, 0.0]"
1660220689289469,0.8862693415889141,"[0.0, 0.0, 0.0]"
1660220689305972,0.886299455692578,"[0.0, 0.0, 0.0]"
1660220689322969,0.8863074843226253,"[0.0, 0.0, 0.0]"
1660220689339473,0.8862966427446053,"[0.0, 0.0, 0.0]"
1660220689355970,0.8862994657177354,"[0.0, 0.0, 0.0]"
1660220689372474,0.8862717768365332,"[0.0, 0.0, 0.0]"
1660220689389474,0.8862419817013398,"[0.0, 0.0, 0.0]"
1660220689405971,0.8862577328080574,"[0.0, 0.0, 0.0]"
1660220689422971,0.8862139918403323,"[0.0, 0.0, 0.0]"
1660220689439475,0.8861423677263861,"[0.0, 0.0, 0.0]"
1660220689455975,0.8861188298107758,"[0.0, 0.0, 0.0]"
1660220689472972,0.8861340403202208,"[0.0, 0.0, 0.0]"
1660220689489476,0.8860647958015005,"[0.0, 0.0, 0.0]"
1660220689505972,0.8860444152815509,"[0.0, 0.0, 0.0]"
