Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1660219510680365700; True; [24.6328067779541, -69.52645111083984, 0.301359087228775, -69.30142974853516, 0.17814499139785767, 1.6766583919525146]; [13.688445091247559, 0.011670264415442944, -0.008931317366659641]; True; [-23.57717514038086, -69.59799194335938, 0.2894570827484131, -83.18299865722656, -0.12771770358085632, -0.101654052734375]; [13.885037422180176, -0.0016930119600147009, 0.017425009980797768]
1660219510691360300; True; [24.6328067779541, -69.52645111083984, 0.301359087228775, -69.30142974853516, 0.17814499139785767, 1.6766583919525146]; [13.688445091247559, 0.011670264415442944, -0.008931317366659641]; True; [-23.549463272094727, -69.83110809326172, 0.2891550064086914, -83.16544342041016, -0.12805238366127014, -0.10388181358575821]; [13.885042190551758, -0.0017470910679548979, 0.017620302736759186]
1660219510701860900; True; [24.705474853515625, -69.74740600585938, 0.30187734961509705, -67.9273452758789, 0.1886703073978424, 1.6965265274047852]; [13.689846992492676, 0.007421610411256552, -0.009945061057806015]; True; [-23.549463272094727, -69.83110809326172, 0.2891550064086914, -83.16544342041016, -0.12805238366127014, -0.10388181358575821]; [13.885042190551758, -0.0017470910679548979, 0.017620302736759186]
1660219510712864300; True; [24.781557083129883, -69.96199798583984, 0.3024214804172516, -66.57032012939453, 0.19845113158226013, 1.7140741348266602]; [13.695104598999023, 0.00328999781049788, -0.010725351050496101]; True; [-23.52227020263672, -70.05921173095703, 0.28885674476623535, -83.15001678466797, -0.12841437757015228, -0.1062011644244194]; [13.885122299194336, -0.0024518086574971676, 0.017530594021081924]
1660219510723365300; True; [24.781557083129883, -69.96199798583984, 0.3024214804172516, -66.57032012939453, 0.19845113158226013, 1.7140741348266602]; [13.695104598999023, 0.00328999781049788, -0.010725351050496101]; True; [-23.52227020263672, -70.05921173095703, 0.28885674476623535, -83.15001678466797, -0.12841437757015228, -0.1062011644244194]; [13.885122299194336, -0.0024518086574971676, 0.017530594021081924]
1660219510733861100; True; [24.86531639099121, -70.18158721923828, 0.30301666259765625, -65.15675354003906, 0.20806121826171875, 1.7305794954299927]; [13.689632415771484, 8.924413123168051e-05, -0.011786329559981823]; True; [-23.494123458862305, -70.29473876953125, 0.2885560691356659, -83.13590240478516, -0.12872856855392456, -0.10882566124200821]; [13.885000228881836, -0.0029143793508410454, 0.01824684627354145]
1660219510744367100; True; [24.952234268188477, -70.39421081542969, 0.3036300241947174, -63.76460647583008, 0.21691995859146118, 1.7449802160263062]; [13.695337295532227, -0.003911823499947786, -0.012651259079575539]; True; [-23.4665470123291, -70.52482604980469, 0.2882591485977173, -83.12371063232422, -0.12902909517288208, -0.11141965538263321]; [13.885085105895996, -0.0021239034831523895, 0.01809948869049549]
1660219510754864700; True; [24.952234268188477, -70.39421081542969, 0.3036300241947174, -63.76460647583008, 0.21691995859146118, 1.7449802160263062]; [13.695337295532227, -0.003911823499947786, -0.012651259079575539]; True; [-23.4665470123291, -70.52482604980469, 0.2882591485977173, -83.12371063232422, -0.12902909517288208, -0.11141965538263321]; [13.885085105895996, -0.0021239034831523895, 0.01809948869049549]
1660219510765365000; True; [25.04417610168457, -70.60468292236328, 0.30427423119544983, -62.36225509643555, 0.22529377043247223, 1.7578881978988647]; [13.696136474609375, -0.007210715673863888, -0.01346427109092474]; True; [-23.438905715942383, -70.75487518310547, 0.2879636883735657, -83.11260223388672, -0.12930230796337128, -0.1138916090130806]; [13.885087013244629, -0.0010930543066933751, 0.018317608162760735]
1660219510776364600; True; [25.142118453979492, -70.81489562988281, 0.3049514591693878, -60.93637466430664, 0.23327143490314484, 1.769521713256836]; [13.695093154907227, -0.010546328499913216, -0.014458749443292618]; True; [-23.410934448242188, -70.9871597290039, 0.2876686751842499, -83.10215759277344, -0.12957550585269928, -0.11624142527580261]; [13.885051727294922, -0.0005050693289376795, 0.018695680424571037]
1660219510787861300; True; [25.142118453979492, -70.81489562988281, 0.3049514591693878, -60.93637466430664, 0.23327143490314484, 1.769521713256836]; [13.695093154907227, -0.010546328499913216, -0.014458749443292618]; True; [-23.410934448242188, -70.9871597290039, 0.2876686751842499, -83.10215759277344, -0.12957550585269928, -0.11624142527580261]; [13.885051727294922, -0.0005050693289376795, 0.018695680424571037]
1660219510798364500; True; [25.245519638061523, -71.02336120605469, 0.3056560158729553, -59.496437072753906, 0.24080513417720795, 1.7798328399658203]; [13.69523811340332, -0.013925454579293728, -0.01543387956917286]; True; [-23.38282585144043, -71.22020721435547, 0.2873747944831848, -83.09259033203125, -0.12982140481472015, -0.1184692233800888]; [13.885037422180176, -0.0010773584945127368, 0.018965495750308037]
1660219510809364900; True; [25.354814529418945, -71.23062133789062, 0.30638885498046875, -58.03770065307617, 0.24793584644794464, 1.788943886756897]; [13.694847106933594, -0.01703161746263504, -0.016421452164649963]; True; [-23.35448455810547, -71.45487213134766, 0.2870818078517914, -83.0838623046875, -0.13003313541412354, -0.1206664890050888]; [13.885011672973633, -0.001290148007683456, 0.01929391734302044]
1660219510819364900; True; [25.354814529418945, -71.23062133789062, 0.30638885498046875, -58.03770065307617, 0.24793584644794464, 1.788943886756897]; [13.694847106933594, -0.01703161746263504, -0.016421452164649963]; True; [-23.35448455810547, -71.45487213134766, 0.2870818078517914, -83.0838623046875, -0.13003313541412354, -0.1206664890050888]; [13.885011672973633, -0.001290148007683456, 0.01929391734302044]
